accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4,1,1,2,160,1,1125,0
6,3,3,3,350,2,30,65
1,2,1,1,50,2,1125,1
2,1,1,1,95,1,1125,0
4,1,1,1,50,7,1125,0
4,1,2,4,99,1,1125,0
4,2,2,2,100,3,1125,0
2,1,1,1,100,1,1125,0
2,1.5,1,1,38,2,180,1
2,,1,1,71,2,365,4
4,1.5,2,2,97,4,1125,5
1,1,1,1,55,3,1125,1
2,1,1,1,50,2,14,0
2,1,0,1,99,7,1125,0
2,,1,1,60,2,1125,2
2,1,1,1,52,1,1125,1
1,1,1,1,23,1,1125,1
2,1,1,2,200,1,1125,0
4,1,2,2,40,1,1125,0
2,1,1,1,135,1,1125,0
2,1,1,1,100,1,1125,0
2,1,1,1,225,1,1125,0
7,3,4,3,129,14,1125,0
1,1,1,1,149,3,31,46
4,1,1,2,150,2,365,84
4,1.5,1,1,175,1,1125,25
3,1,2,2,239,5,1125,4
4,1,1,2,65,2,1125,2
2,1,1,1,71,2,14,83
2,1,1,1,80,1,1125,19
4,2.5,1,3,250,1,730,94
2,1,1,1,138,1,365,47
2,1,1,1,94,2,21,150
5,2.5,2,2,283,3,1125,15
3,1,1,3,127,3,16,0
6,1,1,3,79,1,365,69
3,1,1,1,110,1,1125,1
6,1,1,6,38,1,1125,2
9,2.5,3,5,480,3,1125,5
6,2,2,3,372,3,1125,33
3,1,1,2,125,1,30,11
2,1,1,1,89,1,1125,3
1,1,1,1,80,1,1125,5
5,1,0,3,90,3,999,29
3,1,0,2,110,2,1125,32
3,1,2,3,100,3,1125,1
4,2,2,2,250,1,100,15
1,1,1,1,55,1,1125,0
3,1,1,2,55,1,1125,5
2,1,1,1,400,2,4,0
1,1,1,1,35,1,1125,0
4,2,2,2,160,2,8,5
4,2.5,2,2,130,2,1125,1
1,1,1,1,50,1,1125,0
2,1,1,1,150,1,1125,0
2,1.5,1,1,40,1,1125,9
2,1,1,1,45,1,1125,0
2,2.5,1,1,55,2,1125,0
2,1,1,1,200,1,1125,1
2,1,1,1,65,1,1125,4
4,1.5,1,1,94,1,31,18
1,1,1,1,65,1,1125,2
5,1.5,1,1,64,1,90,115
2,1,1,1,59,1,1125,18
1,,1,,125,1,1125,0
3,1.5,1,1,74,1,90,33
3,1,1,1,69,1,1125,8
1,1,1,1,49,1,1125,1
2,1,1,1,60,1,365,0
2,1,1,1,69,1,1125,19
4,1,1,2,157,2,1125,3
3,1,1,1,128,1,1125,9
2,1,1,1,135,6,1125,6
2,1,1,1,90,2,1125,6
2,1,1,1,102,5,31,6
3,1,1,1,99,1,19,0
2,1,1,1,195,1,1125,1
4,1,1,2,160,1,1125,59
2,1,1,1,95,1,1125,1
2,1,1,1,120,1,1125,0
6,2,2,3,249,2,180,0
2,1,1,1,88,3,1125,1
2,1,1,1,90,1,1125,2
2,1,,1,150,1,1125,0
2,1,1,1,125,1,1125,0
2,1,1,1,85,3,14,145
3,1,1,2,400,1,1125,0
2,1,1,1,120,2,1125,8
10,2,4,4,215,2,1825,29
2,0.5,1,1,90,2,4,0
2,1,1,1,50,2,240,23
5,1,1,2,100,1,1125,12
4,2,2,2,65,1,1125,0
2,1,1,1,55,2,30,4
8,2.5,3,1,129,1,5,58
1,1,1,1,45,1,1125,4
5,2,2,2,299,3,365,34
5,2,2,2,309,4,365,8
7,1,2,4,375,1,1125,0
4,2,2,3,180,7,21,48
4,1,1,1,149,3,1125,32
5,2,2,3,337,3,1125,6
4,2,2,2,299,3,730,7
3,1,1,1,249,4,365,6
3,1.5,0,1,126,2,1125,5
2,1,1,1,99,1,1125,1
4,2,2,2,299,3,365,2
2,1,1,1,199,7,1125,1
3,1,1,3,89,1,1125,1
2,1,0,1,165,1,1125,0
4,2,2,2,309,4,365,1
2,1,0,1,115,1,1125,0
4,1,1,2,130,1,1125,85
2,2,1,1,95,1,1125,0
1,1,1,1,50,2,1125,6
3,1,1,1,569,3,1125,0
1,1,1,1,55,20,21,0
2,1.5,1,1,49,1,1125,3
4,1,2,2,250,3,1125,4
2,,1,1,198,7,365,0
5,2,2,3,311,3,1125,3
2,1,0,1,95,2,29,35
1,1,1,2,59,1,1125,1
2,1,1,1,167,5,1125,31
3,1,1,1,165,1,1125,0
3,1.5,1,1,104,2,1125,11
2,,1,1,99,1,1125,169
4,1,1,3,159,1,1125,0
2,1,0,1,190,3,1125,13
3,1,1,2,246,3,1125,0
3,1,1,2,200,2,1125,14
3,1,1,2,215,1,1125,34
4,2,2,2,450,1,1125,0
3,1,1,1,234,3,1125,0
2,1.5,1,1,110,2,1125,33
4,2,2,2,225,3,30,0
3,1,1,1,249,4,365,4
2,1,1,1,109,1,1125,0
4,2,2,2,250,3,1125,1
4,1,1,1,135,2,1125,2
3,2,1,2,87,2,30,2
4,1,1,1,210,1,90,103
10,2,3,6,300,3,1125,5
2,1,0,1,189,4,365,0
2,1,1,1,120,1,1125,0
2,1,1,1,200,1,1,1
3,1,1,2,269,1,1125,6
3,1,1,1,569,3,1125,0
4,2,2,2,120,1,1125,3
1,1,1,1,109,2,5,1
3,1,1,1,150,2,1125,4
3,1,1,1,95,2,1125,70
4,1,1,2,119,1,20,0
2,1,1,1,97,1,1125,2
2,1,1,1,99,1,4,51
2,1,1,1,295,1,1125,28
2,1,1,1,149,2,1125,9
2,1,1,1,110,1,1125,10
5,1,2,3,180,2,366,1
2,1,0,2,150,3,1125,3
6,1,0,3,150,3,100000,24
5,2.5,2,2,155,2,1125,23
3,1,1,2,85,3,30,338
2,1,1,1,130,1,1125,4
3,1,1,1,120,1,1125,3
2,1,1,1,90,2,1125,12
2,1,1,2,149,1,1125,47
3,1,1,1,569,3,1125,0
4,1,1,1,180,1,1125,6
1,1,1,1,55,1,14,1
4,1,1,1,229,2,720,29
2,1,1,1,75,1,1125,2
3,1,1,1,569,3,1125,0
2,1,1,1,105,1,1125,245
2,1,1,1,259,4,365,3
2,1,1,1,120,2,1125,1
3,1,1,2,119,5,1125,3
2,1.5,1,1,139,1,1125,0
1,1,1,1,90,1,1125,0
1,1,1,1,109,3,1125,34
4,1,1,2,150,2,90,25
5,1,0,3,295,3,999,45
3,1,1,1,210,1,365,57
6,1.5,2,2,329,3,999,21
2,1,0,1,125,2,7,0
2,1,1,1,150,1,1125,1
3,1,1,2,175,2,15,139
3,1,1,2,129,1,1125,7
2,1,1,1,239,5,730,0
2,1,1,1,250,2,1125,17
4,1,1,2,168,1,1125,136
2,1,1,1,79,2,1125,2
1,1,1,2,65,2,1125,0
4,2,2,2,290,3,365,32
6,1,1,3,725,5,30,0
2,1,1,1,109,1,1125,5
4,1,1,2,99,1,1125,3
3,1,1,1,569,3,1125,0
4,1,1,2,120,3,20,3
2,1,1,2,290,1,1125,1
3,1,1,1,145,1,31,5
4,1,1,1,210,1,90,87
1,1,1,1,90,1,1125,2
2,1,1,1,99,1,1125,2
4,1,1,1,399,1,1125,16
2,1,1,1,239,4,730,0
2,1,1,1,150,1,1125,4
1,1,1,1,199,7,1125,1
2,1,1,1,135,5,20,27
4,1,1,1,295,1,1125,20
5,2,2,3,429,3,1125,0
8,2.5,4,4,400,3,1125,26
6,2,2,3,295,1,1125,43
4,1.5,1,2,179,2,730,163
4,2,2,2,309,4,365,23
3,2,1,2,90,6,22,0
2,1,1,1,43,1,1125,10
1,1,1,1,120,2,3,0
4,1,2,2,269,2,1125,5
2,1,0,1,150,2,365,73
2,1,1,1,269,3,365,3
4,1,1,1,185,3,90,8
2,1,1,1,120,7,365,1
8,2,2,3,220,1,1125,0
3,1,1,2,99,3,1125,4
2,1,1,1,99,1,1125,0
4,1,1,2,250,1,1125,6
2,1,1,1,249,3,365,4
3,1,1,2,259,3,1125,2
5,2,2,2,300,1,1125,2
3,1,1,1,289,5,730,1
2,1,0,1,200,1,1125,15
2,1,1,1,249,3,365,0
1,1,1,1,81,1,1125,1
2,1,1,1,200,2,1125,0
8,1,2,4,194,1,1125,8
2,1,1,1,89,3,1125,3
2,1,1,1,159,4,1125,18
2,1,0,1,85,3,6,1
4,1,1,1,100,1,1125,18
2,1,1,1,189,3,30,0
3,2,1,1,150,1,2000,1
5,1,2,3,175,2,1125,2
2,1,1,1,120,4,1125,1
3,1,1,1,155,2,1125,1
5,2,2,2,629,3,1125,0
5,2,2,3,311,3,1125,3
3,1,1,1,571,3,1125,0
6,2,2,2,339,3,730,47
4,1,1,2,210,1,60,28
4,2,2,2,299,4,365,2
2,1,1,1,170,1,10,18
1,1,1,1,135,1,1125,0
4,1,2,2,245,1,1125,3
3,1,1,1,249,3,730,1
2,1,1,1,99,1,30,5
4,1,0,1,149,3,31,0
1,1,1,1,99,3,1125,8
6,2,2,2,295,1,1125,50
6,2,2,2,400,1,1125,0
1,1,1,1,65,1,1125,0
1,1,1,1,99,4,365,54
8,1,2,4,179,1,1125,35
4,1,1,1,150,1,1125,53
4,1,1,1,140,2,1125,4
3,1,1,1,179,2,1125,1
2,1,1,2,135,2,90,4
3,1,1,2,250,4,7,0
2,1.5,1,1,95,1,28,44
6,1,2,2,170,2,1125,2
5,2,2,2,299,4,365,5
2,1,1,1,150,7,14,1
4,1.5,1,1,250,1,1125,12
2,1,0,1,105,1,1125,11
3,1,1,1,120,1,1125,3
3,1,1,1,399,3,1125,0
5,2,2,2,629,3,1125,0
3,1,1,1,569,3,1125,0
2,1,1,1,70,1,1125,9
2,1,0,1,110,2,14,6
3,1,1,2,259,3,1125,4
2,1.5,1,1,99,3,1125,12
8,1.5,3,3,289,1,1125,14
4,1,1,2,124,4,1125,3
2,1,1,1,259,4,730,1
2,1,0,1,80,1,1125,0
2,1,0,1,96,3,1125,12
4,1,2,2,189,2,365,47
3,1,1,1,289,4,1125,0
3,1,1,1,299,4,365,0
6,1,2,2,170,2,1125,9
2,1,1,1,130,2,1125,0
4,1,1,1,149,4,1125,2
3,1,1,2,259,3,1125,0
6,2,2,3,349,2,1125,19
2,1,1,1,78,1,1125,8
2,1,0,1,125,1,1125,1
2,1,1,1,95,1,1125,7
2,1,0,1,130,2,180,19
2,1,1,1,72,2,1125,22
4,1,1,2,175,14,365,3
3,1,1,2,246,3,1125,1
3,1,0,1,140,1,1125,8
2,1,0,2,65,1,1125,2
2,1,0,1,125,2,1125,42
4,1,1,1,85,1,1125,2
3,1,1,1,309,3,730,3
3,1,1,1,569,3,1125,0
4,1,0,2,150,2,1125,1
4,,2,2,279,4,1125,5
4,1,1,2,154,2,365,35
4,1,1,2,165,2,1125,17
3,1,1,2,149,3,93,25
2,1,0,1,104,1,1125,2
1,1,1,1,125,2,5,5
3,1,1,2,259,3,1125,0
3,1,1,1,155,1,1125,0
2,1,1,1,259,4,730,2
3,1,1,1,189,6,30,30
4,1,1,1,110,1,1125,12
1,1,1,1,58,1,1125,14
2,1,1,1,68,4,365,7
4,2,2,2,309,4,365,5
2,1.5,1,1,160,5,1000,1
2,1,1,2,80,1,1125,0
3,1,1,1,569,3,1125,0
4,1,1,1,103,1,1125,0
5,2,2,2,629,3,1125,0
5,2,2,3,324,3,1125,5
2,1,0,1,90,7,1125,2
4,2,2,2,329,3,365,8
4,2,2,2,299,3,1125,3
5,2,2,2,349,4,365,10
3,1,0,1,95,1,1125,0
3,1,1,1,189,6,30,22
5,2,2,3,324,3,1125,2
4,1,0,1,100,4,180,1
4,2,2,2,299,3,1125,2
4,1,1,1,215,2,5,0
5,2,2,2,319,4,365,10
2,1,,1,155,3,1125,6
3,1,1,1,209,5,730,3
2,1,1,1,249,4,730,0
4,2,2,2,329,4,365,0
2,1,0,1,99,1,1125,6
5,2,2,3,324,3,1125,2
4,1,2,2,168,2,29,0
4,1.5,2,2,215,2,1125,2
2,1,0,1,159,3,365,9
5,2,2,2,629,3,1125,0
5,2,2,2,629,3,1125,0
2,1.5,1,1,89,2,1125,1
1,1,1,1,36,1,1125,30
2,1,0,1,100,1,1125,0
2,1,1,1,115,1,5,10
2,1,,1,239,7,365,1
1,1,1,1,100,1,10,0
3,1,1,1,189,5,730,0
2,1,0,1,159,3,1125,2
1,1,1,1,100,1,1125,0
1,1,1,1,100,1,1125,28
2,1,1,1,160,3,1000,6
2,1.5,1,1,130,1,1125,0
4,1,1,2,125,2,1125,24
3,1,0,2,115,2,1125,63
4,1,1,2,189,3,14,6
4,1,1,2,140,1,1125,0
4,1,1,2,1000,2,5,0
3,1,1,2,165,1,1125,19
2,1,0,1,115,2,26,4
3,,1,1,249,3,365,1
2,1,1,1,132,3,1125,1
2,1,1,1,189,1,1125,10
1,1,1,1,79,1,1125,0
2,1,1,1,239,3,365,1
2,1,1,1,150,7,1000,3
3,1,0,2,96,3,50,6
2,1,1,1,139,4,45,6
2,1,0,1,99,2,15,21
1,1,1,1,56,1,1125,0
3,1,,1,219,4,1125,0
2,1,1,1,295,25,1825,0
1,1,0,1,100,6,1000,6
3,1,0,1,229,2,1125,0
6,2,2,3,300,1,1125,8
2,1,0,1,120,1,1125,6
2,1,0,1,105,3,1125,10
2,1,0,1,108,2,1125,6
4,1,0,2,118,1,1125,5
6,2,3,3,310,1,1125,18
4,1,1,1,100,1,1125,12
6,2,2,2,188,1,9999999,3
1,1,1,1,65,7,1125,0
4,1,0,2,116,1,3,25
3,1,1,1,149,1,1125,1
2,1,1,1,150,2,1125,9
2,1,1,1,70,1,1125,0
2,1,1,1,130,5,10,2
1,1,0,1,95,5,600,21
3,1,0,2,165,7,18,0
2,1,1,1,155,4,1125,4
5,2,2,3,324,3,1125,5
2,1,0,1,150,2,1125,52
2,1,1,1,109,2,1125,0
2,1,1,1,110,2,7,0
5,2,2,3,324,3,1125,0
2,1,1,1,60,2,1125,10
2,1,0,1,160,3,1125,11
3,1,0,2,95,1,1125,3
3,1,0,1,128,2,1125,2
1,1,1,1,50,1,365,2
6,2.5,3,6,75,7,7,0
2,1,1,1,135,3,1125,1
3,1,1,1,249,4,365,0
2,1,1,1,120,1,10,0
5,1,1,1,179,3,12,13
1,1,1,1,53,1,1125,1
2,1,0,1,115,1,1125,63
1,1,1,1,70,7,1125,0
4,1,1,2,159,4,365,33
2,1,1,1,209,4,730,2
3,1,1,2,50,2,1125,3
2,1,1,1,175,1,30,1
3,1,1,2,130,1,1125,14
9,2.5,5,5,329,3,1125,0
1,1,1,1,64,1,1125,4
2,1,1,1,70,1,1125,2
2,1,1,1,80,3,730,77
5,2,3,3,800,1,1125,0
4,1,1,1,41,1,1125,1
2,1,1,1,55,2,1365,0
4,1,1,1,65,1,1095,1
3,1,1,1,42,1,1125,3
6,2.5,1,4,60,1,1125,0
2,1,1,1,39,2,1125,0
6,2,2,2,300,2,1125,2
2,1,1,1,100,2,1125,0
1,1.5,1,1,60,2,1125,9
6,1,2,3,140,4,90,53
2,1,1,1,95,2,1125,53
2,1,1,1,150,1,1125,0
2,1,1,1,214,1,1125,16
4,1,1,2,129,2,1125,362
2,1,0,1,100,1,1125,0
2,1.5,1,1,120,1,1125,13
4,1.5,2,2,399,1,1125,27
2,1,1,1,84,3,21,36
2,1,1,1,110,2,1125,6
5,2,2,2,200,2,1125,0
4,1,0,2,120,1,1125,9
2,1,1,1,83,1,1125,6
6,1,1,3,79,1,365,117
7,2,4,4,299,1,1125,2
3,1,1,2,207,3,1125,2
2,1,1,1,55,2,1125,19
2,1,1,1,85,2,7,102
2,1,1,1,135,3,1125,5
3,1,1,1,100,1,1125,7
4,1,1,1,70,2,365,6
3,1,0,1,100,1,8,2
4,2,2,2,230,3,29,29
2,2,1,3,140,1,1125,6
6,2,3,3,495,2,1125,11
2,1,1,1,115,1,1125,1
1,1,1,1,65,1,1125,0
2,1,0,1,115,3,14,72
2,1,1,1,99,1,1125,2
2,1,0,1,158,2,1125,22
10,4.5,4,5,399,2,1125,0
2,1.5,1,1,150,1,1125,0
4,2,2,2,289,7,730,1
4,1,2,2,150,2,14,43
2,1,1,1,350,5,14,3
5,2,2,3,298,3,1125,2
1,1,1,1,70,1,1125,2
2,1,1,1,130,2,1125,4
2,1,1,1,100,3,1125,22
2,1,1,1,125,3,10,12
3,1,1,2,150,2,1125,7
1,1,1,1,95,1,1125,0
3,1,1,2,130,3,1125,44
3,1,1,1,250,2,1125,0
4,1,1,1,175,1,1125,0
2,1,1,1,69,14,28,2
2,1,1,1,175,1,1125,4
2,1,1,1,85,1,1125,2
4,1,2,2,180,5,25,1
6,1,2,3,150,4,90,84
3,1,1,1,139,1,1125,52
2,1,1,1,111,1,1125,6
2,1,1,1,95,1,1125,3
1,1,1,1,85,1,1125,5
3,1,1,1,115,7,1125,11
4,2,2,2,199,7,180,13
2,1,1,1,150,2,1125,7
4,1,1,1,115,2,29,49
1,2.5,1,1,99,2,365,120
2,1,0,1,85,1,1125,0
2,1,1,1,193,3,1125,2
5,2,2,3,298,3,1125,5
1,1,1,1,63,1,1125,15
8,2.5,3,5,299,1,1125,1
4,1,1,1,185,3,90,3
4,1.5,2,2,120,1,5,3
2,1,1,1,125,1,365,5
2,2,1,1,110,1,1125,13
1,1.5,1,1,93,1,1125,35
2,1,0,1,80,1,1125,10
2,1,1,1,195,2,1125,13
2,1,1,1,90,1,1125,47
4,2,2,2,250,1,60,15
2,1,1,1,225,2,14,0
3,1,1,1,135,2,365,44
2,1,1,1,259,3,365,3
2,1,0,2,60,5,19,0
2,1,1,1,60,1,1125,4
2,1,0,1,100,3,300,2
4,1,1,1,100,3,4,5
3,1,1,1,109,2,5,1
10,1.5,3,4,312,2,1125,1
4,1,0,2,175,3,30,8
4,2,2,2,375,1,8,0
2,1,1,1,71,2,1125,4
2,1,1,1,110,1,1125,0
2,1,1,1,75,2,1125,3
4,1,1,3,150,1,1125,11
4,1,1,1,120,2,4,20
4,1,1,2,119,3,1125,1
2,1,1,1,200,2,1125,5
12,3,5,6,600,1,1125,0
3,1,0,2,175,3,90,0
2,1,1,1,119,2,1125,1
3,1,1,2,209,1,1125,2
3,1,1,2,135,1,1125,0
2,1,1,1,45,1,1125,4
8,1,2,3,250,2,1125,5
2,1,1,1,80,2,1125,9
2,1,1,1,110,1,1125,0
4,1,1,3,150,1,1125,5
1,1,0,1,105,1,1125,15
6,2,1,3,119,1,1125,0
2,1,0,1,90,1,1125,1
12,3.5,4,4,340,2,1125,0
2,1,0,1,180,1,1125,0
4,1,1,2,265,1,1125,15
2,1,0,1,105,1,1125,2
4,3,1,2,240,3,30,0
2,1,1,1,98,4,1125,4
2,1,1,1,112,6,22,1
3,1,1,1,110,2,1125,114
4,1,1,3,140,1,1125,6
1,1,1,1,70,5,1125,4
5,1,1,4,229,3,365,16
4,2.5,2,2,162,1,1125,14
2,1,0,1,102,2,9,5
2,1.5,1,1,73,2,1125,40
4,1,1,2,190,2,1125,15
6,1,1,3,149,2,1125,215
2,1.5,1,1,80,2,1125,1
2,1.5,1,1,99,2,1125,6
2,1,0,1,120,1,31,89
5,1,1,2,150,3,14,18
14,3,5,7,599,1,1125,0
1,1,0,1,62,14,1125,1
2,1,1,1,50,1,1125,1
5,1.5,2,2,240,1,14,16
2,1,1,1,139,5,1125,6
2,1,0,1,150,1,1125,0
5,1,2,2,250,4,15,2
1,1,1,1,68,1,1125,16
4,2,2,2,299,4,365,3
13,3,6,8,720,1,1125,1
2,1,1,1,200,1,1125,10
2,1,1,1,71,1,1125,1
2,1,1,1,125,1,4,149
6,1,2,2,145,1,1125,54
2,1,,,130,1,2,1
3,1,1,2,185,2,14,1
7,1,2,6,225,1,1125,11
4,2,2,2,130,1,1125,1
6,1.5,2,2,178,1,1125,4
1,1,1,1,80,3,32,98
1,1,1,1,90,3,1125,20
2,1,2,1,125,1,3,7
4,1,1,2,120,2,1125,85
1,1,0,1,80,3,9,0
2,1,1,1,100,2,1125,0
2,1,1,1,105,2,7,18
2,1,0,1,128,1,1125,7
6,1,2,4,300,1,1125,5
4,1.5,2,2,275,4,1125,19
3,1,1,1,200,2,1125,2
5,1,2,3,280,2,40,11
2,1.5,1,1,99,2,1125,20
5,2,2,2,175,1,1125,1
1,1,1,1,97,1,1125,15
3,1,1,2,130,3,1125,23
2,1,1,1,215,2,14,0
2,1,1,1,75,14,30,4
4,1,1,2,185,2,14,1
1,1,1,1,70,1,1125,19
2,1,0,1,97,1,1125,0
3,1,1,1,130,2,1125,2
2,1,1,1,120,1,1125,3
4,1,1,1,110,2,2,1
2,1.5,1,1,225,2,1125,2
4,1,1,3,140,1,1125,6
2,2,1,1,160,1,1125,8
2,1,1,1,125,1,110,116
2,1.5,1,1,150,3,1125,4
1,1,1,1,90,2,1125,4
16,8,8,16,1250,1,1125,0
8,2.5,4,4,390,2,1125,1
2,1,1,1,100,1,60,16
2,1,1,1,150,2,6,7
4,1,1,1,95,3,365,13
7,1.5,3,4,250,1,1125,6
2,1,1,1,65,1,29,26
1,1,1,1,70,4,1125,1
7,1.5,3,4,290,2,90,36
2,1,1,1,120,1,1125,133
6,1,1,3,130,2,1125,4
2,1,1,1,84,3,21,22
2,1,1,1,129,1,1125,1
3,1,0,1,125,1,1125,2
3,1,1,1,150,1,1125,5
3,1,1,1,130,2,1125,5
2,1,1,1,210,3,20,11
6,2.5,3,3,497,1,1125,51
2,1,0,1,100,3,1125,1
6,3,2,2,300,1,1125,1
3,1,0,2,108,1,1125,1
6,2.5,2,2,300,4,1125,0
4,1,1,2,75,1,1125,4
2,1,1,1,120,1,14,15
2,1,1,1,249,4,730,0
2,1,1,1,100,1,1125,1
4,1,1,1,125,2,365,27
1,1,0,1,145,1,1125,2
4,2,2,2,330,2,1125,17
1,1,1,1,60,2,93,6
2,1.5,1,1,69,1,1125,77
4,1,1,2,130,3,1125,15
2,1,1,1,129,3,90,71
2,1,1,1,249,4,730,0
6,1,1,3,79,1,29,2
4,1,1,2,164,2,365,23
6,2,2,3,164,1,27,0
4,2,2,2,299,1,1125,9
2,1,1,1,130,2,8,10
2,1,1,1,125,2,4,8
2,1,1,1,190,2,6,0
2,1.5,1,1,125,1,3,0
2,1,1,1,65,3,365,3
2,1.5,1,1,75,2,14,15
1,2,1,1,85,1,1125,1
5,2,2,3,229,3,1125,0
15,3,6,9,500,1,28,41
6,1,1,4,250,1,14,6
5,1,1,2,117,6,1125,6
11,2.5,3,3,298,2,60,69
6,1,2,4,200,1,1125,8
4,1,1,2,110,1,1125,0
2,1,0,1,120,1,1125,38
10,3,3,6,450,2,1125,6
4,1,1,2,99,2,365,54
8,0,2,4,275,2,7,7
2,1,1,1,185,2,14,0
5,1,1,2,120,1,1125,2
2,1,0,1,150,1,1125,4
3,1,1,1,121,1,7,2
2,1,1,1,75,1,1125,0
2,1,0,1,105,4,32,26
2,1,0,1,150,1,1125,4
4,1,0,1,100,2,1125,4
4,2,2,2,249,7,365,0
5,1,2,2,275,2,1125,15
4,2,2,2,160,2,1125,12
6,3.5,3,3,475,3,1125,1
2,1,0,1,115,3,365,41
6,2.5,1,16,45,1,1125,2
6,2.5,2,2,150,3,29,51
2,1,1,1,90,3,1125,5
4,1,1,2,217,4,1125,5
2,2,1,1,97,2,14,5
14,3,5,7,399,1,1125,2
4,1,0,2,118,1,14,28
4,1,1,2,130,4,90,31
6,1,1,6,36,1,1125,11
4,1,1,1,100,1,1125,0
3,1,1,1,125,2,1125,1
7,2,1,4,300,3,1125,8
4,2,2,2,199,2,366,0
4,1.5,2,2,150,1,1125,2
2,1,0,1,125,2,10,23
2,1,1,1,110,1,30,157
4,2,2,2,320,3,1125,0
2,1,1,1,88,1,1125,1
5,3,3,2,329,1,1125,4
2,1,1,1,99,1,1125,3
1,1,1,1,59,2,1125,8
6,1,2,2,70,3,365,80
2,1,1,1,75,1,1125,0
3,1,1,3,70,1,14,9
1,1,1,1,1300,1,1125,0
1,1,1,1,58,2,20,6
2,1,1,1,55,1,1125,1
2,1,1,1,47,1,1125,50
2,1,1,1,60,1,31,36
4,1,1,2,135,2,7,4
3,1,1,2,89,4,120,75
6,1,1,5,150,1,1125,18
1,1,1,1,65,1,1125,1
5,1,1,2,109,2,365,28
4,1,,3,99,2,365,68
2,1,1,1,69,2,1125,17
4,2.5,2,2,300,7,1125,0
4,1,1,2,114,3,1125,18
1,1,1,1,100,4,1125,0
1,1,1,1,69,2,365,5
6,3.5,3,4,350,2,1125,1
1,1,1,1,100,2,180,13
1,1,1,1,115,4,1125,0
2,1,,1,99,2,365,19
1,1,1,1,43,1,1125,0
1,1,1,1,50,1,1125,0
9,2,4,4,380,3,1125,1
2,1,1,1,80,3,365,14
2,1,1,1,149,4,109,8
1,1,1,1,39,1,1125,0
3,1,1,3,50,1,1125,1
5,1,0,1,115,3,1125,15
9,3.5,5,6,850,1,1125,0
1,1,1,1,58,14,1125,0
11,4.5,6,11,650,7,1125,2
4,1,1,2,150,6,30,5
2,1,1,1,99,2,45,1
4,1,,2,110,2,365,33
1,1,1,1,40,1,1125,0
2,1,1,1,110,4,1125,0
